   Corazon.
 ¸   Copyright.
    Rombo.
 à   Letra o con acento.
    Notas musicales.
    Triangulo hacia abajo.
 º   Doble linea.
 ´   Linea vertical y a la izquierda fina.
 Í   Signo igual, mas largo.
    Cara sonriente.
 Ü   Rectangulo relleno.
 Ê   Signo desconocido.
 ˜   Y con dieresis.
 «   Signo de 1/2.
 ¿   Linea fina abajo y a la izquierda.
 ˆ   E minuscula con acento circunflejo.
 °   Sombra media.
 ‹   i minuscula con dieresis.
 ™   O con dieresis.
 æ   Letra griega minuscula my.
 à   O con acento.
    Cara sonriente rellena.
 ë   U minuscula con acento.
